"","City","Average City Revenue"
"1","Addison",74981.2727272727
"2","Ajax",2760247
"3","Alban",NA
"4","Algoma Mills",2007
"5","Alliston",517506.136363636
"6","Almonte",380966.363636364
"7","Angus",346478.818181818
"8","Apsley",114945.090909091
"9","Arnprior",206315.1875
"10","Astorville",39747.0588235294
"11","Athens",23734.25
"12","Atikokan",203877.090909091
"13","Aurora",2101953.09090909
"14","Ayton",NA
"15","Balmertown",243459.363636364
"16","Bancroft",51771.1818181818
"17","Barrie",3816723.90909091
"18","Barry's Bay",125811.583333333
"19","Barwick",2918.90909090909
"20","Baysville",138118.363636364
"21","Beachburg",81050.1818181818
"22","Beamsville",724431.727272727
"23","Beardmore",26993
"24","Beaverton",431113.818181818
"25","Belle Vallee",1381
"26","Belleville",1462542.27272727
"27","Birch Island",30899.8181818182
"28","Blenheim",320
"29","Blind River",70302.1363636364
"30","Bolton",NA
"31","Bonfield",58886.4545454545
"32","Bowmanville",2113201.36363636
"33","Bracebridge",644067.636363636
"34","Bradford",893048.818181818
"35","Brampton",10821118
"36","Brantford",3835100.63636364
"37","Brechin",266771.272727273
"38","Bridgenorth",369133.818181818
"39","Brighton",195787.636363636
"40","Britt",15628.1904761905
"41","Brockville",393169.727272727
"42","Bruce Mines",90604.5454545455
"43","Buckhorn",123307.454545455
"44","Burk's Falls",89146.1818181818
"45","Burlington",6957911.18181818
"46","Calabogie",44982.9090909091
"47","Callander",68585.5
"48","Calstock",NA
"49","Cambridge",4269367.72727273
"50","Capreol",81210
"51","Cardinal",30171
"52","Carleton Place",201081.409090909
"53","Carp",304241
"54","Cartier",4499.90909090909
"55","Casselman",101128.272727273
"56","Castleton",NA
"57","Cayuga",409184
"58","Chalk River",NA
"59","Chapleau",104143.363636364
"60","Charlton",NA
"61","Chatham",3074044.63636364
"62","Chelmsford",448873
"63","Christian Island",43837.4545454545
"64","Clinton",2094093.90909091
"65","Cobalt",59119.3636363636
"66","Cobden",22245
"67","Cobourg",552913.52173913
"68","Cochrane",265919.8
"69","Coe Hill",25460.8181818182
"70","Colborne",125391.75
