"","LibID","Library","Year","Upper Tier Code","Legal Name","New Legal Name","Mailing Address","Postal Code","City","Street Address","Library Web Site Address","Library Service Type","Population (Resident)","Households (Resident)","Population (Contracting)","Households (Contracting)","Date year starts","Date year ends","Ontario Library Service (OLS) Region","# of Active Library Cardholders","Net Balance brought forward amount","Net Balance brought forward type","Provincial Operating Funding","Local Operating Grant","Contract Revenue","Project Grants","Donations","Self-generated Revenue","Debt Services and Reserve Fund Revenues","Other operating revenue","Total Operating Revenues","Provincial capital revenues","Federal capital revenues","Local capital revenues","Other capital revenues","Total Capital Revenues","General materials expenditure","Electronic materials expenditure","Staffing expenditure","Staff Training expenditure","Facilities/Utilities","Telephone and Fax","Dedicated Internet Connectivity Costs","Computer Services","Debt Charges and Transfers to Reserve Funds","Funds returned to government sources","Contract payment made to library boards for library services","Other expenditures","Total Operating Expenditures","Total Capital Expenditures","Titles Held (Reference - English Language)","Titles Held (Reference - French Language)","Titles Held (Reference - Other Language)","Volumes Held (Reference - English Language)","Volumes Held (Reference - French Language)","Volumes Held (Reference - Other Language)","# of Databases (Reference - English Language)","# of Databases (Reference - French Language)","# of Databases (Reference - Other Language)","# of CD ROM Titles (Reference - English Language)","# of CD ROM Titles (Reference - French Language)","# of CD ROM Titles (Reference - Other Language)","# of copies of CD ROM (Reference - English Language)","# of copies of CD ROM (Reference - French Language)","# of copies of CD ROM (Reference - Other Language)","Titles Held (Circulating - English Language)","Titles Held (Circulating - French Language)","Titles Held (Circulating - Other Language)","Volumes Held (Circulating - English Language)","Volumes Held (Circulating - French Language)","Volumes Held (Circulating - Other Language)","# of CD ROM Titles (Circulating - English Language)","# of CD ROM Titles (Circulating - French Language)","# of CD ROM Titles (Circulating - Other Language)","# of copies of CD ROMs (Circulating - English Language)","# of copies of CD ROMs (Circulating - French Language)","# of copies of CD ROMs (Circulating - Other Language)","Titles Held (Periodicals - English Language)","Titles Held (Periodicals - French Language)","Titles Held (Periodicals - Other Language)","# of Database Subscriptions (Periodicals - English Language)","# of Database Subscriptions (Periodicals - French Language)","# of Database Subscriptions (Periodicals - Other Language)","# of CD ROM Titles (Periodicals - English Language)","# of CD ROMs Titles (Periodicals - French Language)","# of CD ROM Titles (Periodicals - Other Language)","# of copies of CD ROMs (Periodicals - English Language)","# of copies of CD ROMs (Periodicals - French Language)","# of copies of CD ROMs (Periodicals - Other Language)","# of individual electronic periodical titles (English Language)","# of individual electronic periodical titles (French Language)","# of individual electronic periodical titles (Other Language)","# of hours per week in an FTE","Librarians (Full Time - # of people)","Library Technicians (Full Time - # of people)","EXCEL Graduates  (Full Time - # of people)","Other staff (Full Time - # of people)","Volunteers (Full Time - # of people)","Librarians (Part Time - # of people)","Librarians (Part Time - Hours worked)","Library Technicians (Part Time - # of people)","Library Technicians (Part Time - Hours worked)","EXCEL Graduates (Part Time - # of people)","EXCEL Graduates (Part Time - Hours worked)","Other staff (Part Time - # of people)","Other staff (Part Time - Hours worked)","Volunteers (Part Time - # of people)","Volunteers (Part Time - Hours worked)","# of Public access workstations","Workstations with internet access","Workstations with OPAC access","Workstations with CD ROM access","Automated catalogue available","Name of Automated Catalogue System","Does your library provide wireless Internet connection","# of Main Libraries","Main Library - total hours open per week","# of Branches open >= 12 hours per week","Branches open >= 12 hours per week - total hours open per week","# of Branches open < 12 hours per week","Branches open < 12 hours per week - total hours open per week","# of Bookmobile stops","Bookmobile hours per week","# of Deposit Stations","Deposit Station hours per week","# of Bookmobiles","Total Annual Direct Circulation","# of programs held annually","Annual program attendance","# of items borrowed","# of items lent","# of requests made to other libraries","# of requests received from other libraries","Typical Week - Direct circulation","Typical Week - Materials use in library","Typical Week -  # of people using library workstations","Typical Week -  # of times electronic databases accessed","No of people using public library wireless connection","Typical Week -  # of standard reference transactions","Typical Week -  # of electronic reference transactions","Typical Week -  # of library visits made in person","Typical Week -  # of electronic library visits"
"1",5,"Addington Highlands Twp",2000,57,"Addington Highlands Twp","Township of Addington Highlands","Box 72","K0H1P0","Flinton","3641 Flinton Rd. Flinton, Ontario","www.addingtonhighlandspubliclibrary.ca","Public or Union Library",2103,2382,0,0,"01/01/2000","12/31/2000","SOLS",336,1767,"Surplus",11434,2722,0,5254,2017,107,0,18,21552,0,0,0,0,0,4434,0,6160,0,2105,1394,0,5495,0,0,0,1278,20866,0,1941,0,0,2065,0,0,0,0,0,4,0,0,4,0,0,14576,14,0,15507,17,0,1,0,0,1,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,2,10,0,0,1,19,1,6,3,12,3,3,0,3,"No",NA,0,1,10,0,0,1,4,0,0,0,0,0,3414,3,42,0,0,0,0,112,6,9,0,0,6,1,43,0
"2",3,"Adjala-TosorontioTwp",2000,70,"Adjala-TosorontioTwp",NA,"7855 Sideroad 30, RR # 1","L9R1V1","Alliston",NA,"www.townshipadjtos.on.ca","Contracting Municipality",9221,3021,0,0,"01/01/2000","12/31/2000","OLS-N",0,248,"Nil",2429,28530,0,0,0,0,0,0,30959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42351,0,42351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2,"Admaston - Bromley Public Library",2000,69,"Admaston - Bromley Public Library","Township of Admaston/Bromley","P O Box 130","K0J1S0","Douglas","5346 Highway 60","http://www.admastonbromleylibrary.com","Public or Union Library",2831,1228,1298,669,"01/01/2000","12/31/2000","SOLS",0,1715,"Surplus",5518,3500,653,14954,698,590,0,0,25913,0,0,0,0,0,2557,0,6228,449,2384,800,0,7140,3000,0,0,0,22558,0,50,0,0,150,0,0,0,0,0,5,0,0,5,0,0,5407,25,0,5718,25,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,5,0,0,0,0,1,2,0,0,2,2,0,1,"No",NA,0,1,7,0,0,0,0,0,0,0,0,0,13350,5,300,0,0,0,0,267,55,35,0,0,60,15,142,0
"4",32,"Ajax",2000,10,"Ajax",NA,"55 Harwood Ave. South","L1S2H8","Ajax",NA,"www.townofajax.com/library/index.html","Public or Union Library",63552,21542,0,0,"01/01/2000","12/31/2000","SOLS",41403,27496,"Surplus",154654,1695000,0,1190,2010,72681,0,9058,1934593,0,0,298771,0,298771,309161,0,1287091,6473,262742,15281,0,26349,0,0,0,0,1907097,306652,2405,86,0,5234,128,0,0,0,0,47,0,0,47,0,0,108953,2504,1422,145271,2805,1468,101,0,0,114,0,0,203,2,2,2,0,0,1,0,0,1,0,0,1352,0,0,35,3,2,0,9,0,0,0,0,0,0,0,35,700,0,0,35,15,16,5,"Yes","Dynix",0,1,62,2,69,0,0,0,0,0,0,0,486708,439,8540,305,648,523,871,9872,1350,731,0,0,667,0,8040,246
"5",390,"Alderville FN",2000,61,"Alderville FN",NA,"P.O. Box 46","K0K2X0","Roseneath","11696 Second Line Road, Alderville, Ontario","http://aldervillelearningcentre.com/index.php/library.html","First Nations Library",285,0,0,0,"04/01/2000","03/31/2001","SOLS",0,0,"Nil",1329,5000,0,28582,1845,950,0,0,37706,0,0,0,0,0,6685,0,13913,1500,6000,900,450,15582,0,0,0,0,45030,0,22,0,0,40,0,0,0,0,0,12,0,0,12,0,0,2000,0,271,2004,0,291,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.5,5,10,3,3,0,3,"No",NA,0,1,19.5,0,0,0,0,0,0,0,0,0,5000,4,412,300,0,352,0,100,20,11,0,0,4,0,61,0
"6",4,"Alfred & Plantagenet Twp",2000,67,"Alfred & Plantagenet Twp","Township of Alfred & Plantagenet","C.P. 10","K0B1J0","Lefaivre","1963, rue de l'H<f4>tel de Ville, C.P. 10, Lefaivre ON","www.alfred-plantagenet.ca","Public or Union Library",8315,3398,0,0,"01/01/2000","12/31/2000","SOLS",2376,-3928,"Deficit",15665,112144,0,26688,0,2798,0,0,157295,0,0,0,0,0,11914,0,48155,3248,13812,3296,0,41830,0,0,30138,7637,160030,0,94,255,0,373,503,0,0,0,0,0,0,0,0,0,0,4760,24239,2,4863,24811,2,0,0,0,0,0,0,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,4,50,10,30,16,16,11,13,"Yes","Mandarin",0,0,0,3,41,2,19,0,0,0,0,0,35283,13,588,206,0,206,0,703,185,56,0,0,53,17,294,151
"7",391,"Algonquins of Pikwakanagon FN",2000,69,"Algonquins of Pikwakanagon FN",NA,"1657A Mishomis Inamo","K0J1X0","Golden Lake",NA,"www.algonquinsof pikwakanagan.com/Education%20library%20 2004.htm","First Nations Library",397,0,0,0,"04/01/2000","03/31/2001","SOLS",325,0,"Nil",2388,0,0,13000,0,0,0,0,15388,0,0,0,0,0,200,0,13109,0,0,1204,0,0,0,0,0,0,14513,0,4868,85,0,4953,85,0,0,0,0,96,0,0,96,0,0,5142,0,0,5142,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,8,8,0,8,"No",NA,0,1,20,0,0,0,0,0,0,0,0,0,11029,0,0,0,0,0,0,95,459,6,5,0,23,52,25,20
"8",12,"Amaranth Twp",2000,43,"Amaranth Twp",NA,"R.R. #7","L9W2Z3","Orangeville","374028 6th Line Amaranth","www.amaranth-eastgary.ca","Contracting Municipality",3234,1170,0,0,"01/01/2000","12/31/2000","OLS-N",0,0,"Nil",5167,64230,0,0,0,0,0,0,69397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69397,0,69397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",13,"Armstrong Twp",2000,90,"Armstrong Twp",NA,"C.P. 39","P0J1E0","Earlton","35-10th Street","http://www.olsn.ca/armstrong","Public or Union Library",1334,513,368,137,"01/01/2000","12/31/2000","OLS-N",911,-15903,"Deficit",2817,17021,861,55439,1199,1112,0,0,78449,0,0,0,0,0,3697,0,13599,0,1408,1429,2387,1486,0,0,0,22,24028,1305,25,75,0,182,346,0,0,0,0,1,1,0,1,1,0,82,59,0,410,295,0,0,0,0,0,0,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,15,0,0,0,0,1,12,0,0,10,8,8,8,"Yes","Winnebago (Dos)",0,1,27,0,0,0,0,0,0,0,0,0,20015,0,0,88,0,111,81,107,102,12,0,0,9,0,113,27
"10",14,"Arnprior",2000,69,"Arnprior","Town of Arnprior","21 Madawaska Street","K7S1R6","Arnprior",NA,"http://www.arnprior.library.on.ca/","Public or Union Library",7113,3070,0,0,"01/01/2000","12/31/2000","SOLS",3890,10915,"Surplus",14263,117878,700,6221,7382,61452,4600,0,212496,0,0,0,0,0,50138,0,128256,369,1197,1782,0,2219,0,0,0,20284,204245,5463,174,1,0,254,20,0,0,0,0,6,0,0,6,0,0,43852,59,0,44170,59,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,2,0,0,0,0,0,0,0,0,0,5,65,5,12,7,3,3,0,"Yes","Winnebago Spectrum",0,1,47,0,0,0,0,0,0,0,0,0,102908,232,6125,538,561,604,2280,2092,480,159,0,0,285,0,1661,0
