"","Library Number","Library Full Name","Survey Year From","A1.3","A1.4","A1.5","A1.9","A1.10","A1.11","A1.12","A1.13","A1.14","B1.1","B2.1.1","B2.1.2","B2.1.3","B2.1.4","B2.2","B2.3","B2.4.1.01","B2.4.1.02","B2.4.1.03","B2.4.1.04","B2.4.1.05","B2.4.1.06","B2.4.1.07","B2.4.1.99","B2.4.1a","B2.5","B2.6","B2.7","B2.8","B2.9","B3.1","B3.2","B3.3","B3.4","B3.5","B4.01","B4.01.1","B4.01.2","B4.02","B4.03","B4.04","B4.05.1","B4.05.2","B4.06","B4.07","B4.08","B4.09","B4.10","B5.0","B6.0","C1.1.E","C1.1.F","C1.1.O","C1.1.T","C1.2.E","C1.2.F","C1.2.O","C1.2.T","C1.3.1.E","C1.3.1.F","C1.3.1.O","C1.3.1.T","C1.3.2.E","C1.3.2.F","C1.3.2.O","C1.3.2.T","C1.3.3.E","C1.3.3.F","C1.3.3.O","C1.3.3.T","C1.4.E","C1.4.F","C1.4.O","C1.4.T","C1.5.E","C1.5.F","C1.5.O","C1.5.T","C2.1.E","C2.1.F","C2.1.O","C2.1.T","C2.2.E","C2.2.F","C2.2.O","C2.2.T","C2.3.1.E","C2.3.1.F","C2.3.1.O","C2.3.1.T","C2.3.2.E","C2.3.2.F","C2.3.2.O","C2.3.2.T","C2.3.3.E","C2.3.3.F","C2.3.3.O","C2.3.3.T","C2.3.4.E","C2.3.4.F","C2.3.4.O","C2.3.4.T","C2.4.E","C2.4.F","C2.4.O","C2.4.T","C2.5.E","C2.5.F","C2.5.O","C2.5.T","C3.1.E","C3.1.F","C3.1.O","C3.1.T","C3.2.1.E","C3.2.1.F","C3.2.1.O","C3.2.1.T","C3.2.2.E","C3.2.2.F","C3.2.2.O","C3.2.2.T","C3.2.3.E","C3.2.3.F","C3.2.3.O","C3.2.3.T","C3.2.4.E","C3.2.4.F","C3.2.4.O","C3.2.4.T","D1.0.H","D1.1.1.C","D1.1.2.C","D1.1.3.C","D1.1.4.C","D1.1.5.C","D1.2.1.C","D1.2.1.H","D1.2.2.C","D1.2.2.H","D1.2.3.C","D1.2.3.H","D1.2.4.C","D1.2.4.H","D1.2.5.C","D1.2.5.H","E1.1","E1.1.1","E1.1.2","E1.1.3","E1.1.4","E2.1","E2.3","E3.1.SPC","E3.1.SPH","E3.2.SPC","E3.2.SPH","E3.3.SPC","E3.3.SPH","E3.4.SPC","E3.4.SPH","E3.5.SPC","E3.5.SPH","E3.6.SPC","F1.0","F2.1.P","F2.2.A","F2.301.Attendance","F2.301.Programs","F2.302.Attendance","F2.302.Programs","F2.303.Attendance","F2.303.Programs","F2.304.Attendance","F2.304.Programs","F2.305.Attendance","F2.305.Programs","F2.306.Attendance","F2.306.Programs","F2.307.Attendance","F2.307.Programs","F2.308.Attendance","F2.308.Programs","F2.309.Attendance","F2.309.Programs","F2.310.Attendance","F2.310.Programs","F2.311.Attendance","F2.311.Programs","F2.312.Attendance","F2.312.Programs","F2.313.Attendance","F2.313.Programs","F2.314.Attendance","F2.314.Programs","F2.315.Attendance","F2.315.Programs","F2.316.Attendance","F2.316.Programs","F2.317.Attendance","F2.317.Programs","F2.318.Attendance","F2.318.Programs","F3.1.1","F3.1.2","F3.2.1","F3.2.2","G1.1.1.W","G1.1.2.W","G1.1.3.W","G1.2.1.W","G1.3.1.W","G1.3.2.W","G1.3.3.W","G1.4.1.W","G1.4.2.W","G1.4.3.W","G1.4.4.W","G1.4.5.W","G1.5.1.W","G1.5.2.W","H1.1.1.01","H1.1.1.02","H1.1.1.03","H1.1.1.04","H1.1.1.05","H1.1.1.06","H1.1.1.07","H1.1.1.08","H1.1.1.92","H1.2.1.F","H1.2.1.T","H1.2.2","H1.3.1.F","H1.3.1.T","H1.3.2.11","H1.3.2.12","H1.3.2.13","H1.3.2.14","H1.3.2.15","H1.3.2.16","H1.3.2.17","H1.3.2.90","H1.4.1.F","H1.4.1.T","H1.4.2","H1.4.3.21","H1.4.3.22","H1.4.3.23","H1.4.3.24","H1.4.3.25","H1.4.3.93","H1.5.1.F","H1.5.1.T","H1.5.2","H1.5.3.40","H1.5.3.41","H1.5.3.42","H1.5.3.43","H1.5.3.44","H1.5.3.94","H1.7.1.F","H1.7.1.T","H1.7.2.31","H1.7.2.32","H1.7.2.33","H1.7.2.34","H1.7.2.35","H1.7.2.91","H1.8.1.F","H1.8.1.T","H1.8.2.PC","P1.1","P1.2","P2.1","P2.2","B2.4.1.08","E1.2","F2.319.Attendance","F2.319.Programs","G1.4.6.W","H1.3.2.18","H1.9.1.F","H1.9.1.T","H1.9.2.51","H1.9.2.52","H1.9.2.95","D1.1.3.1.C","D1.2.3.1.C","D1.2.3.1.H","G1.5.3.W","H1.4.3.26","H1.7.2.36","B2.4.1.09","B2.4.1.10","F2.320.Attendance","F2.320.Programs","H1.5.4","H1.8.3.F","H1.8.3.T","H1.8.4.TN","C4.1.F","C4.1.T","C4.2","C4.3.01","C4.3.02","C4.3.03","C4.3.04","C4.3.05","C4.3.06","C4.3.07","C4.3.90","E2.1.F","E2.1.T","E2.3.F","E2.3.T","E2.4.F","E2.4.T","E2.5","E2.6.F","E2.6.T","E2.7","F2.311a.Attendance","F2.311a.Programs","G1.3.4.W","H1.3.2.10","H1.3.2.19","H1.3.2.20","C0.1.E","C0.1.F","C0.1.O","C0.1.T","C0.2.E","C0.2.F","C0.2.O","C0.2.T","C0.3.1.E","C0.3.1.F","C0.3.1.O","C0.3.1.T","C0.3.2.E","C0.3.2.F","C0.3.2.O","C0.3.2.T","C0.3.3.E","C0.3.3.F","C0.3.3.O","C0.3.3.T","C0.3.4.E","C0.3.4.F","C0.3.4.O","C0.3.4.T","C0.4.E","C0.4.F","C0.4.O","C0.4.T","C0.5.E","C0.5.F","C0.5.O","C0.5.T","C3.2.0.E","C3.2.0.F","C3.2.0.O","C3.2.0.T","F2.317a.Attendance","F2.317a.Programs","X287"
"1","L0005","Addington Highlands Twp",2011,"Southern Ontario Library Service","Public or Union Library","Box 72","3641 Flinton Rd.","Flinton","Ontario","K0H1P0","www.addingtonhighlandspubliclibrary.ca",575,8515,11434,NA,0,11434,53962,NA,NA,2000,72500,NA,1000,8788,NA,NA,84288,0,1578,NA,2587,153849,0,0,0,NA,0,10492,10492,0,43551,756,5948,1768,2599,4478,0,0,NA,3205,72797,0,33,0,0,33,90,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11775,30,0,11805,12278,30,0,12308,1154,4,1,1159,1194,4,1,1199,26263,43,53,26359,32905,43,53,33001,0,0,0,0,0,0,0,0,15,0,0,15,12,1,0,13,0,0,0,0,0,0,0,0,21388,71,0,21459,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,18,3,30,9,16,12,12,12,12,3,1,1,1,20,1,13,NA,NA,NA,NA,NA,NA,NA,9707,38,332,NA,NA,204,22,128,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,208,NA,NA,171,10,181,26,39,16,26,NA,1,NA,NA,NA,120,81,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,1,72500,1945,0,0,2694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","L0003","Adjala-TosorontioTwp",2011,"Southern Ontario Library Service","Contracting Municipality","7855 Sideroad 30 R.R. #1",NA,"Alliston","Ontario","L9R1V1","www.townshipadjtos.on.ca",0,0,13821,NA,NA,13821,34780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48601,NA,48601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10603,0,0,3913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","L0002","Admaston/Bromley Twp",2011,"Southern Ontario Library Service","Public or Union Library","Hwy 60 P O Box 130","5366 Highway 60","Douglas","Ontario","K0J1S0","http://www.admastonbromleylibrary.com",428,7675,5518,NA,NA,5518,8500,652,NA,NA,NA,NA,NA,3663,NA,12921,16584,399,NA,NA,1080,32733,NA,NA,NA,NA,NA,10000,7138,2862,7792,NA,1485,1385,749,1027,NA,NA,NA,987,23425,NA,25,2,0,27,82,2,0,84,8,4,2,14,1,0,0,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,8760,60,0,8820,8780,0,0,8780,377,0,0,377,377,0,0,377,1508,43,93,1644,1508,43,93,1644,NA,NA,NA,NA,NA,NA,NA,NA,50,0,0,50,12,1,0,13,NA,NA,NA,NA,NA,NA,NA,NA,23468,75,0,23543,35,NA,NA,NA,NA,NA,NA,NA,1,12,NA,NA,1,2,2,4,7,6,1,6,1,1,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,7296,15,260,NA,NA,52,8,160,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1,NA,NA,NA,NA,21,1,26,26,NA,NA,146,NA,146,10,9,9,2,2,NA,2,2,7,182,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,2,NA,1,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2844,0,0,1369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","L0032","Ajax",2011,"Southern Ontario Library Service","Public or Union Library","55 Harwood Avenue South","55 Harwood Avenue South","Ajax","Ontario","L1S2H8","ajaxlibrary.ca",29930,8797,83286,71368,0,154654,3447800,NA,NA,NA,NA,NA,NA,NA,916,49391,50307,1248,128327,NA,91159,3873495,NA,NA,NA,NA,NA,436998,415387,21611,2828751,22932,280155,3681,0,60381,1720,NA,NA,85884,3720502,5562,2102,0,0,2102,5664,0,0,5664,36,4,2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127354,7700,3781,138835,168718,8245,3895,180858,15914,618,1787,18319,19571,669,1893,22133,25190,43,93,25326,26797,43,93,26933,NA,NA,NA,NA,NA,NA,NA,NA,269,0,3,272,12,1,0,13,NA,NA,NA,NA,NA,NA,NA,NA,28216,75,0,28291,35,4,1,NA,15,NA,NA,NA,9,156,NA,NA,39,532,NA,NA,51,39,10,NA,NA,1,1,1,62,2,84,NA,NA,NA,NA,NA,NA,NA,828293,1046,24383,10002,513,3312,65,3396,109,1271,41,1277,47,407,22,1224,73,NA,NA,NA,NA,669,9,542,34,2,1,432,33,1178,64,659,34,8,1,NA,NA,14,2,993,1135,2380,1485,NA,289,289,1830,1486,784,1496,951,20,157,330,NA,9620,6081,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,11,NA,1,NA,NA,NA,9,NA,1,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,0,NA,NA,114830,0,0,35641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","L0390","Alderville FN",2011,"Southern Ontario Library Service","First Nations Library","P.O. Box 46","11696 Second Line Road","Alderville","Ontario","K0K2X0","http://aldervillelearningcentre.com/index.php/library.html",120,0,1329,0,13000,14329,3103,NA,NA,2000,NA,NA,NA,NA,NA,NA,2000,984,684,NA,2746,23846,NA,NA,NA,NA,NA,3329,3329,NA,16680,1091,0,0,2746,0,0,0,NA,NA,23846,NA,232,0,0,232,276,0,0,276,8,4,2,14,10,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,5950,0,100,6050,5975,0,100,6075,55,0,5,60,55,0,7,62,7038,43,93,7174,7038,43,93,7174,0,0,0,0,0,0,0,0,11,0,0,11,12,1,0,13,0,0,0,0,0,0,0,0,20468,75,0,20543,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,2,15,5,4,NA,5,NA,1,1,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,2825,48,482,360,40,20,1,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,2,NA,NA,NA,NA,NA,NA,NA,NA,42,6,48,10,15,6,NA,3,1,5,3,2,60,NA,NA,1,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,306,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","L0004","Alfred & Plantagenet Twp",2011,"Southern Ontario Library Service","Public or Union Library","C.P. 10","1963 rue de l'H<U+00BF>tel de Ville C.P. 10","Lefaivre","Ontario","K0B1J0","www.alfred-plantagenet.ca",1059,31782,13936,1729,NA,15665,248110,NA,NA,NA,NA,672,NA,NA,NA,2115,2787,NA,8886,NA,16964,292412,NA,NA,NA,8300,8300,42714,42714,NA,175048,1146,46056,5354,NA,6324,8962,NA,NA,17328,302932,NA,58,62,0,120,58,430,0,488,40,4,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8359,26478,0,34837,10552,37457,0,48009,1114,643,0,1757,1114,643,0,1757,18858,43,53,18954,25500,43,53,25596,0,0,0,0,0,0,0,0,12,71,0,83,12,1,0,13,0,0,0,0,0,0,0,0,21388,71,0,21459,35,NA,1,NA,NA,NA,NA,NA,NA,NA,1,27,6,76.5,2,8,25,25,24,24,NA,1,1,NA,NA,5,76,NA,NA,NA,NA,NA,NA,NA,46420,67,1274,NA,NA,1057,60,217,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,595,497,497,NA,740,201,941,283,88,NA,2,13,NA,27,2,5,615,14,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,0,NA,NA,7890,0,0,4035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","L0391","Algonquins of Pikwakanagan FN",2011,"Southern Ontario Library Service","First Nations Library","1657 A Mishomis Inamo","1657 A Mishomis Inamo","Golden Lake","Ontario","K0J1X0","http://algonquinsofpikwakanagan.com/library.php",85,0,2388,0,13000,15388,1190,NA,NA,2000,NA,NA,NA,8460,NA,NA,10460,0,0,0,2746,29784,0,0,0,NA,0,2884,2884,0,19914,939,189,257,2746,2167,0,0,NA,688,29784,0,12,0,0,12,212,0,0,212,8,4,2,14,36,0,0,36,36,0,0,36,0,0,0,0,0,0,0,0,5341,0,0,5341,5350,0,0,5350,117,0,0,117,117,0,0,117,1508,43,93,1644,1508,43,93,1644,0,0,0,0,0,0,0,0,15,0,0,15,12,1,0,13,0,0,0,0,0,0,0,0,23468,75,0,23543,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,NA,6,6,NA,6,2,1,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1440,37,512,NA,NA,63,2,NA,NA,384,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,3,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,76,93,27,NA,NA,3,NA,NA,NA,NA,48,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,0,NA,NA,457,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","L0487","Alnwick/Haldimand Twp",2011,"Southern Ontario Library Service","Public or Union Library","2363 County Road 23",NA,"Grafton","Ontario","K0K2G0","www.alnwickhaldimand.ca",1227,0,13478,3273,0,16751,111334,NA,NA,NA,NA,162,NA,NA,NA,NA,162,9915,977,NA,5650,144789,NA,NA,93567,NA,93567,21636,21384,252,106556,761,2547,2899,1114,728,242,NA,NA,8306,144789,93567,219,0,0,219,377,0,0,377,8,4,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30295,6,0,30301,30295,6,0,30301,1219,0,0,1219,1219,0,0,1219,21168,43,93,21304,22775,43,93,22911,0,0,0,0,0,0,0,0,25,0,0,25,12,1,0,13,0,0,0,0,0,0,0,0,23468,75,0,23543,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,96,NA,NA,13,13,3,10,4,1,1,NA,NA,3,43,NA,NA,NA,NA,NA,NA,NA,36190,34,337,NA,NA,47,10,254,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,3,1051,958,1451,213,891,12,903,145,57,NA,25,34,11,37,20,15,248,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,6617,0,0,3052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","L0012","Amaranth Twp",2011,"Southern Ontario Library Service","Contracting Municipality","374028 6th Line","374028 6th Line","Amaranth","Ontario","L9W0M6","www.amaranth-eastgary.ca",0,0,5105,NA,NA,5105,89736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,94841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,86794,8047,94841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3560,0,0,1373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","L0345","Archipelago Twp",2011,"Ontario Library Service - North","Contracting Municipality","9 James Street",NA,"Parry Sound","Ontario","P2A1T4","www.thearchipelago.on.ca",0,0,15072,NA,NA,15072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15072,NA,15072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568,0,0,3287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
